"kegg_id","GeneName","GeneID"
"ecs:ECs_5072","carbohydrate ABC transport system permease","ECs_5072"
"ecs:ECs_3351","hydrogenase 4 Fe-S subunit","ECs_3351"
"ecs:ECs_0553","iron export ABC transporter ATPase","ECs_0553"
"ecs:ECs_R0049","tRNA-Ile","ECs_R0049"
"ecs:ECs_0076","3-isopropylmalate dehydratase large subunit","ECs_0076"
"ecs:ECs_5720","hypothetical protein","ECs_5720"
"ecs:ECs_3639","enolase","ECs_3639"
"ecs:ECs_1882","phage shock protein B","ECs_1882"
"ecs:ECs_0138","3-methyl-2-oxobutanoate hydroxymethyltransferase","ECs_0138"
"ecs:ECs_1268","biofilm PGA synthesis N-glycosyltransferase PgaC","ECs_1268"
"ecs:ECs_1857","global regulator of transcription","ECs_1857"
"ecs:ECs_0449","two-component regulatory system response regulator PhoB","ECs_0449"
"ecs:ECs_R0080","tRNA-Ala","ECs_R0080"
"ecs:ECs_0039","carnitinyl-CoA dehydratase","ECs_0039"
"ecs:ECs_1532","phage endolysin","ECs_1532"
"ecs:ECs_3799","DNA-binding protein","ECs_3799"
"ecs:ECs_5054","formate-dependent nitrite reductase 4Fe4S subunit","ECs_5054"
"ecs:ECs_0001","thr operon leader peptide","ECs_0001"
"ecs:ECs_1488","hypothetical protein","ECs_1488"
"ecs:ECs_0310","hypothetical protein","ECs_0310"
"ecs:ECs_2436","hypothetical protein","ECs_2436"
"ecs:ECs_1429","hypothetical protein","ECs_1429"
"ecs:ECs_0790","membrane protein","ECs_0790"
"ecs:ECs_4343","nickel/heme ABC transporter periplasmic binding protein","ECs_4343"
"ecs:ECs_1836","component I of anthranilate synthase","ECs_1836"
"ecs:ECs_0061","T3SS effector-like protein EspY","ECs_0061"
"ecs:ECs_0531","inner membrane NAD(P)-binding transporter","ECs_0531"
"ecs:ECs_2149","transcriptional repressor","ECs_2149"
"ecs:ECs_0694","glutamate/aspartate periplasmic binding protein","ECs_0694"
"ecs:ECs_2911","transcriptional repressor","ECs_2911"
"ecs:ECp054","hypothetical protein","ECp054"
"ecs:ECs_1120","copper/zinc-superoxide dismutase","ECs_1120"
"ecs:ECs_R0083","tRNA-Val","ECs_R0083"
"ecs:ECs_4807","transcriptional regulator","ECs_4807"
"ecs:ECs_1442","glutaredoxin 2","ECs_1442"
"ecs:ECs_5301","hypothetical protein","ECs_5301"
"ecs:ECs_2899","D-tagatose 1,6-bisphosphate aldolase 2 catalytic subunit","ECs_2899"
"ecs:ECs_3244","sucrose operon repressor","ECs_3244"
"ecs:ECs_1895","glycosyl hydrolase","ECs_1895"
"ecs:pO157p08","EtpI","pO157p08"
"ecs:ECs_2332","oxidoreductase","ECs_2332"
"ecs:ECs_2471","oxidoreductase","ECs_2471"
"ecs:ECs_4467","selenocysteinyl-tRNA-specific translation factor","ECs_4467"
"ecs:ECs_3964","antitoxin of the HigB-HigA toxin-antitoxin system","ECs_3964"
"ecs:ECs_2829","UDP-glucose 6-dehydrogenase","ECs_2829"
"ecs:ECs_R0047","tRNA-Arg","ECs_R0047"
"ecs:ECs_1283","hemolysin activator-related protein","ECs_1283"
"ecs:ECs_1841","ribosomal large subunit pseudouridine synthase B","ECs_1841"
"ecs:ECs_4747","hypothetical protein","ECs_4747"
"ecs:ECs_1029","dihydro-orotate oxidase","ECs_1029"
"ecs:ECs_3485","T3SS secreted effector EspM","ECs_3485"
"ecs:ECs_3546","transcriptional repressor","ECs_3546"
"ecs:ECs_3584","hydrogenase maturation protein","ECs_3584"
"ecs:ECs_1293","hypothetical protein","ECs_1293"
"ecs:ECs_2099","periplasmic M16 family zinc metalloendopeptidase","ECs_2099"
"ecs:ECs_2550","inner membrane protein","ECs_2550"
"ecs:ECs_0871","ABC transporter permease","ECs_0871"
"ecs:ECs_4552","T3SS structure protein EscF","ECs_4552"
"ecs:ECs_1741","acetaldehyde dehydrogenase","ECs_1741"
"ecs:ECs_4647","multidrug efflux system protein","ECs_4647"
"ecs:ECs_2023","cytochrome b561","ECs_2023"
"ecs:ECs_2442","N,N'-diacetylchitobiose-specific enzyme IIA component of PTS","ECs_2442"
"ecs:ECs_5152","transcriptional regulator","ECs_5152"
"ecs:ECs_3643","antitoxin of toxin-antitoxin system","ECs_3643"
"ecs:ECs_5064","membrane fusion protein of efflux pump","ECs_5064"
"ecs:ECs_4930","acetyltransferase","ECs_4930"
"ecs:ECs_0032","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","ECs_0032"
"ecs:ECs_4097","sialic acid transporter","ECs_4097"
"ecs:ECs_2434","inner membrane protein","ECs_2434"
"ecs:ECs_3586","carbamoyl dehydratase","ECs_3586"
"ecs:ECs_2558","hypothetical protein","ECs_2558"
"ecs:ECs_3733","type III secretion protein EivG","ECs_3733"
"ecs:ECs_2755","hypothetical protein","ECs_2755"
"ecs:ECs_3539","ribonucleoside-diphosphate reductase 2 beta subunit","ECs_3539"
"ecs:ECs_0443","hypothetical protein","ECs_0443"
"ecs:ECs_4109","malate dehydrogenase","ECs_4109"
"ecs:ECs_4884","LPS heptose I phosphoethanolamine transferase","ECs_4884"
"ecs:ECs_0521","inner membrane protein","ECs_0521"
"ecs:ECs_4366","universal stress protein B","ECs_4366"
"ecs:ECs_2930","VMA domain YehL ATPase stimulator","ECs_2930"
"ecs:ECs_1424","stationary phase cardiolipin synthase 3","ECs_1424"
"ecs:ECs_0460","protein-export membrane protein SecF","ECs_0460"
"ecs:pO157p07","EtpH","pO157p07"
"ecs:ECs_2019","hypothetical protein","ECs_2019"
"ecs:pO157p79","hypothetical protein","pO157p79"
"ecs:ECs_3220","periplasmic pilin chaperone","ECs_3220"
"ecs:ECs_4774","multifunctional fatty acid oxidation complex subunit alpha","ECs_4774"
"ecs:ECs_4323","transporter","ECs_4323"
"ecs:ECs_3483","DNA-damage-inducible protein DinI","ECs_3483"
"ecs:ECs_3227","long-chain fatty acid outer membrane transporter","ECs_3227"
"ecs:ECs_3461","pheA gene leader peptide","ECs_3461"
"ecs:ECs_2046","ABC transporter permease","ECs_2046"
"ecs:ECs_1755","inner membrane protein","ECs_1755"
"ecs:ECs_1630","phage terminase large subunit","ECs_1630"
"ecs:ECs_3847","transposase","ECs_3847"
"ecs:ECs_2926","hypothetical protein","ECs_2926"
"ecs:ECs_2053","curcumin/dihydrocurcumin reductase","ECs_2053"
"ecs:ECs_0133","PTS Enzyme IIA","ECs_0133"
"ecs:ECs_1850","GTP cyclohydrolase II","ECs_1850"
"ecs:ECs_1877","aldehyde dehydrogenase","ECs_1877"
"ecs:ECs_5127","EF-P-Lys34 lysylation protein","ECs_5127"
"ecs:ECs_0031","FKBP-type peptidyl-prolyl cis-trans isomerase","ECs_0031"
"ecs:ECs_4234","DNA catabolic protein","ECs_4234"
"ecs:ECs_2380","oxidoreductase subunit","ECs_2380"
"ecs:ECs_R0095","tRNA-Gly","ECs_R0095"
"ecs:ECs_2605","trehalose-6-phosphate phosphatase","ECs_2605"
"ecs:ECs_3745","peptidase","ECs_3745"
"ecs:ECs_1294","ABC transport system permease protein","ECs_1294"
"ecs:pO157p81","hypothetical protein","pO157p81"
"ecs:ECs_3592","4-hydroxybenzoate decarboxylase","ECs_3592"
"ecs:ECs_2194","phage endonuclease","ECs_2194"
"ecs:ECs_2949","phage tail length tape measure protein","ECs_2949"
"ecs:pO157p30","resolvase","pO157p30"
"ecs:ECs_3579","formate hydrogenlyase subunit 3","ECs_3579"
"ecs:ECs_4675","F0F1 ATP synthase subunit gamma","ECs_4675"
"ecs:ECs_1746","oligopeptide ABC transporter ATPase","ECs_1746"
"ecs:ECs_1480","ferric-rhodotorulic acid outer membrane transporter","ECs_1480"
"ecs:ECs_3842","inner membrane protein","ECs_3842"
"ecs:ECs_2553","hypothetical protein","ECs_2553"
"ecs:ECs_1614","multidrug resistance protein","ECs_1614"
"ecs:ECs_0514","Hha toxicity attenuator TomB","ECs_0514"
"ecs:ECs_4703","acetolactate synthase 2 small subunit","ECs_4703"
"ecs:ECs_3794","arginine transporter","ECs_3794"
"ecs:ECs_5187","iron-sulfur cluster repair protein RIC","ECs_5187"
"ecs:ECs_0621","regulatory peptide MokC whose translation enables hok (gef) expression","ECs_0621"
"ecs:ECs_0596","fimbrial protein","ECs_0596"
"ecs:ECs_3081","autotransporter outer membrane protein","ECs_3081"
"ecs:ECs_1898","outer membrane porin G","ECs_1898"
"ecs:ECs_5255","N-acetylneuraminate epimerase","ECs_5255"
"ecs:ECs_R0023","transfer-messenger RNA, SsrA","ECs_R0023"
"ecs:ECs_4650","chromate reductase","ECs_4650"
"ecs:ECs_R0105","tRNA-Glu","ECs_R0105"
"ecs:ECs_3978","modulator of EnvZ/OmpR regulon","ECs_3978"
"ecs:ECs_1158","glucose-1-phosphatase","ECs_1158"
"ecs:ECs_2903","sugar kinase","ECs_2903"
"ecs:ECs_3974","uronate isomerase","ECs_3974"
"ecs:ECs_3582","hydrogenase nickel incorporation protein","ECs_3582"
"ecs:ECs_R0081","tRNA-Val","ECs_R0081"
"ecs:ECs_4830","L-rhamnose isomerase","ECs_4830"
"ecs:ECs_3070","microcin C ABC transporter permease","ECs_3070"
"ecs:ECs_0142","fimbrial protein","ECs_0142"
"ecs:ECs_5276","outer membrane usher protein FimD","ECs_5276"
"ecs:ECs_4705","dihydroxy-acid dehydratase","ECs_4705"
"ecs:ECs_4333","acyltransferase","ECs_4333"
"ecs:ECs_3093","ferredoxin-type protein","ECs_3093"
"ecs:ECs_4008","toxin of the SohB(PrlF)-YhaV toxin-antitoxin system","ECs_4008"
"ecs:ECs_3795","mechanosensitive channel protein","ECs_3795"
"ecs:ECs_2712","cytochrome","ECs_2712"
"ecs:ECs_5053","cytochrome C nitrite reductase pentaheme subunit","ECs_5053"
"ecs:ECs_4567","T3SS component","ECs_4567"
"ecs:ECs_0034","dihydrodipicolinate reductase","ECs_0034"
"ecs:ECs_2667","lipoprotein","ECs_2667"
"ecs:ECs_0794","pyridoxal phosphate phosphatase","ECs_0794"
"ecs:ECs_R0059","tRNA-Arg","ECs_R0059"
"ecs:ECs_3098","ecotin","ECs_3098"
"ecs:ECs_1789","DNase","ECs_1789"
"ecs:ECs_R0096","tRNA-Phe","ECs_R0096"
"ecs:ECs_1052","weak acylphosphatase","ECs_1052"
"ecs:ECs_5151","protease modulator HflC","ECs_5151"
"ecs:ECs_3793","oxidative stress defense protein","ECs_3793"
"ecs:ECs_4299","sn-glycerol-3-phosphate ABC transporter periplasmic binding protein","ECs_4299"
"ecs:ECs_2567","zinc ABC transporter periplasmic binding protein","ECs_2567"
"ecs:ECs_4689","potassium transporter","ECs_4689"
"ecs:ECs_2831","shikimate 5-dehydrogenase","ECs_2831"
"ecs:ECs_4604","regulatory protein","ECs_4604"
"ecs:ECs_4856","ribonuclease E inhibitor protein","ECs_4856"
"ecs:ECs_1126","pseudogene","ECs_1126"
"ecs:ECs_1376","hypothetical protein","ECs_1376"
"ecs:ECs_3107","hybrid sensory kinase in two-component regulatory system with RcsB and YojN","ECs_3107"
"ecs:ECs_4858","molecular chaperone and ATPase component of HslUV protease","ECs_4858"
"ecs:ECs_R0053","tRNA-Tyr","ECs_R0053"
"ecs:ECs_3747","amino acid kinase","ECs_3747"
"ecs:ECs_0063","RNA polymerase remodeling/recycling factor ATPase","ECs_0063"
"ecs:ECs_0047","ferredoxin","ECs_0047"
"ecs:ECs_3925","hypothetical protein","ECs_3925"
"ecs:ECs_5737","hypothetical protein","ECs_5737"
"ecs:ECs_5133","fumarate reductase membrane anchor subunit","ECs_5133"
"ecs:ECs_1151","trimethylamine N-oxidoreductase I cytochrome c-type subunit","ECs_1151"
"ecs:ECs_2551","hypothetical protein","ECs_2551"
"ecs:ECs_1968","DNase","ECs_1968"
"ecs:ECs_5073","ATP-binding component of sugar ABC transporter","ECs_5073"
"ecs:ECs_4412","cyclic di-GMP-binding protein","ECs_4412"
"ecs:ECs_R0039","tRNA-Val","ECs_R0039"
"ecs:ECs_3734","type III secretion protein EivF","ECs_3734"
"ecs:ECs_5018","maltose ABC transporter ATPase","ECs_5018"
"ecs:ECs_1085","phage CAAX amino terminal protease family protein","ECs_1085"
"ecs:ECs_3275","hypothetical protein","ECs_3275"
"ecs:ECs_0543","ABC transporter ATP-binding protein","ECs_0543"
"ecs:ECs_3742","sigma-54-interacting transcriptional activator","ECs_3742"
"ecs:ECs_3509","hypothetical protein","ECs_3509"
"ecs:ECs_1067","plasmid stabilization system protein","ECs_1067"
"ecs:ECs_3811","metalloprotease","ECs_3811"
"ecs:ECs_2625","hypothetical protein","ECs_2625"
"ecs:ECs_5057","heme lyase subunit NrfF","ECs_5057"
"ecs:ECs_4275","glucose-1-phosphate adenylyltransferase","ECs_4275"
"ecs:ECs_0910","glutathione ABC transporter permease","ECs_0910"
"ecs:ECs_4233","DNA catabolic fimbrial transporter","ECs_4233"
"ecs:ECs_0216","type VI secretion system effector Hcp1 family protein","ECs_0216"
"ecs:ECs_3397","transcriptional regulator","ECs_3397"
"ecs:ECs_3011","hypothetical protein","ECs_3011"
"ecs:ECs_4087","biosynthetic peptidoglycan transglycosylase","ECs_4087"
"ecs:ECs_1257","ureidoacrylate amidohydrolase","ECs_1257"
"ecs:ECs_5298","2-hydroxyglutaryl-CoA dehydratase","ECs_5298"
"ecs:ECs_1808","phage tail fiber protein","ECs_1808"
"ecs:ECs_0863","molybdopterin synthase large subunit","ECs_0863"
"ecs:ECs_3946","L-tartrate/succinate antiporter","ECs_3946"
"ecs:ECs_0945","arginine ABC transporter permease","ECs_0945"
"ecs:ECs_2533","cold-shock protein","ECs_2533"
"ecs:ECs_4838","two-component regulatory system response regulator CpxR","ECs_4838"
"ecs:ECs_0646","universal stress protein UP12","ECs_0646"
"ecs:ECs_3360","uracil phosphoribosyltransferase","ECs_3360"
"ecs:ECs_2187","hypothetical protein","ECs_2187"
"ecs:ECs_2290","spermidine N(1)-acetyltransferase","ECs_2290"
"ecs:ECs_2131","glutaminase 2","ECs_2131"
"ecs:ECs_4432","pyruvate-inducible inner membrane protein","ECs_4432"
"ecs:ECs_4411","endo-1,4-D-glucanase","ECs_4411"
"ecs:ECs_4157","zntA gene transcriptional activator","ECs_4157"
"ecs:ECs_2454","succinylornithine transaminase","ECs_2454"
"ecs:ECs_2005","hypothetical protein","ECs_2005"
"ecs:ECs_0963","hypothetical protein","ECs_0963"
"ecs:ECs_3031","transport protein","ECs_3031"
"ecs:ECs_0454","hypothetical protein","ECs_0454"
"ecs:ECs_3302","porphyrinogen oxidase","ECs_3302"
"ecs:ECs_1998","pseudogene","ECs_1998"
"ecs:ECs_1362","hypothetical protein","ECs_1362"
"ecs:ECs_5068","sugar kinase","ECs_5068"
"ecs:ECs_1070","hypothetical protein","ECs_1070"
"ecs:ECs_2891","hypothetical protein","ECs_2891"
"ecs:ECs_2199","hypothetical protein","ECs_2199"
"ecs:ECs_1961","hypothetical protein","ECs_1961"
"ecs:ECs_2124","autoinducer-2 aldolase","ECs_2124"
"ecs:pO157p25","hypothetical protein","pO157p25"
"ecs:ECs_4445","inner membrane protein","ECs_4445"
"ecs:ECs_4269","sn-glycerol-3-phosphate dehydrogenase","ECs_4269"
"ecs:ECs_3200","acetyl-CoA carboxylase beta subunit","ECs_3200"
"ecs:ECs_5782","pseudogene","ECs_5782"
"ecs:ECs_5164","hypothetical protein","ECs_5164"
"ecs:ECs_3284","cell division protein ZipA","ECs_3284"
"ecs:ECs_3550","glutamate-cysteine ligase","ECs_3550"
"ecs:ECs_2603","universal stress protein","ECs_2603"
"ecs:ECs_5117","thiol:disulfide interchange protein and activator of DsbC","ECs_5117"
"ecs:ECs_0651","citrate/succinate antiporter","ECs_0651"
"ecs:ECs_0302","hypothetical protein","ECs_0302"
"ecs:ECs_0690","ribonucleoside hydrolase 1","ECs_0690"
"ecs:ECs_3972","Imp-YgjV family inner membrane protein","ECs_3972"
"ecs:pO157p01","ToxR-regulated lipoprotein","pO157p01"
"ecs:ECs_3618","sulfite reductase beta subunit","ECs_3618"
"ecs:ECs_3640","CTP synthetase","ECs_3640"
"ecs:ECs_0686","hypothetical protein","ECs_0686"
"ecs:ECs_0263","peptide chain release factor RF-1","ECs_0263"
"ecs:ECs_1319","hypothetical protein","ECs_1319"
"ecs:ECs_0210","ribonuclease HI","ECs_0210"
"ecs:ECs_3530","DNA binding protein","ECs_3530"
"ecs:ECs_3449","hypothetical protein","ECs_3449"
"ecs:ECs_2443","N,N'-diacetylchitobiose-specific enzyme IIC component of PTS","ECs_2443"
"ecs:ECs_2309","pyridine nucleotide transhydrogenase alpha subunit","ECs_2309"
"ecs:ECs_0198","outer membrane protein","ECs_0198"
"ecs:pO157p65","hypothetical protein","pO157p65"
"ecs:ECs_4612","acetolactate synthase isozyme I large subunit","ECs_4612"
"ecs:ECs_5236","DNA polymerase III chi subunit HolC","ECs_5236"
"ecs:ECs_R0054","tRNA-Tyr","ECs_R0054"
"ecs:ECs_1915","fumarate/nitrate reduction transcriptional regulator","ECs_1915"
"ecs:ECs_2410","PEP synthetase regulatory protein","ECs_2410"
"ecs:ECs_4135","hypothetical protein","ECs_4135"
"ecs:ECs_4294","hypothetical protein","ECs_4294"
"ecs:ECs_2845","glycosyl transferase","ECs_2845"
"ecs:ECs_0771","acyl-CoA thioester hydrolase","ECs_0771"
"ecs:ECs_3228","hypothetical protein","ECs_3228"
"ecs:ECs_0019","pseudogene","ECs_0019"
"ecs:ECs_0064","DNA polymerase II","ECs_0064"
"ecs:ECs_1777","endodeoxyribonuclease","ECs_1777"
"ecs:ECs_4266","transcriptional repressor GlpR","ECs_4266"
"ecs:ECs_3147","inactive two-component system connector protein","ECs_3147"
"ecs:ECs_0582","anaerobic allantoin catabolic oxamate carbamoyltransferase","ECs_0582"
"ecs:ECs_4666","fimbrial protein","ECs_4666"
"ecs:ECs_5168","L-ascorbate 6-phosphate lactonase","ECs_5168"
"ecs:ECs_5074","histidine protein kinase","ECs_5074"
"ecs:ECs_3975","hexuronate transporter","ECs_3975"
"ecs:ECs_2287","phage excisionase","ECs_2287"
"ecs:ECs_0987","formate transport protein","ECs_0987"
"ecs:ECs_2824","imidazole glycerol phosphate synthase glutamine amidotransferase subunit","ECs_2824"
"ecs:ECs_3874","S-transferase","ECs_3874"
"ecs:ECs_0085","RsmH methyltransferase inhibitor","ECs_0085"
"ecs:ECs_0268","outer membrane phosphoporin protein E","ECs_0268"
"ecs:ECs_1381","transposase","ECs_1381"
"ecs:ECs_1441","lipoprotein","ECs_1441"
"ecs:ECs_0921","undecaprenyl pyrophosphate phosphatase","ECs_0921"
"ecs:ECs_2803","DNA repair protein","ECs_2803"
"ecs:ECs_0300","phage repressor protein","ECs_0300"
"ecs:ECs_4138","pseudogene","ECs_4138"
"ecs:ECs_1713","4-diphosphocytidyl-2-C-methylerythritol kinase","ECs_1713"
"ecs:ECs_5780","hypothetical protein","ECs_5780"
"ecs:ECs_5348","transcriptional regulator","ECs_5348"
"ecs:ECs_4706","l-threonine dehydratase","ECs_4706"
"ecs:ECs_0960","transporter","ECs_0960"
"ecs:ECs_R0074","tRNA-Asn","ECs_R0074"
"ecs:ECs_2744","transposase","ECs_2744"
"ecs:ECs_R0044","tRNA-Ser","ECs_R0044"
"ecs:ECs_0684","molecular chaperone DnaJ","ECs_0684"
"ecs:ECs_2772","hypothetical protein","ECs_2772"
"ecs:ECs_1088","hypothetical protein","ECs_1088"
"ecs:ECs_2327","7-alpha-hydroxysteroid dehydrogenase","ECs_2327"
"ecs:ECs_0395","galactoside O-acetyltransferase","ECs_0395"
"ecs:ECs_1762","hypothetical protein","ECs_1762"
"ecs:ECs_3257","inner membrane protein","ECs_3257"
"ecs:ECs_4611","acetolactate synthase 1 small subunit","ECs_4611"
"ecs:ECs_3821","DNA-specific endonuclease I","ECs_3821"
"ecs:ECs_1866","membrane transport protein","ECs_1866"
"ecs:ECs_3885","L-glyceraldehyde 3-phosphate reductase","ECs_3885"
"ecs:ECs_3986","inner membrane protein","ECs_3986"
"ecs:pO157p18","hemolysin A","pO157p18"
"ecs:ECs_4413","cellulose synthase catalytic subunit","ECs_4413"
"ecs:ECs_3765","thiol:disulfide interchange protein DsbC","ECs_3765"
"ecs:ECs_0635","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","ECs_0635"
"ecs:ECs_2112","fimbrial chaperone protein precursor","ECs_2112"
"ecs:ECs_5108","hypothetical protein","ECs_5108"
"ecs:ECs_3224","fatty acid oxidation complex subunit alpha","ECs_3224"
"ecs:ECs_3739","xanthine dehydrogenase molybdenum binding subunit","ECs_3739"
"ecs:ECs_1534","phage murein endopeptidase","ECs_1534"
"ecs:ECs_R0069","tRNA-Arg","ECs_R0069"
"ecs:ECs_0090","UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase","ECs_0090"
"ecs:ECs_4561","T3SS translocated intimin receptor Tir","ECs_4561"
"ecs:ECs_0870","ABC transporter permease","ECs_0870"
"ecs:ECs_3428","ferredoxin","ECs_3428"
"ecs:ECs_4697","transcriptional regulator","ECs_4697"
"ecs:ECs_5724","pseudogene","ECs_5724"
"ecs:ECs_3344","hydrogenase 4 membrane subunit","ECs_3344"
"ecs:ECs_4874","glycerol dehydrogenase","ECs_4874"
"ecs:ECs_4009","transcriptional repressor of the aga regulon","ECs_4009"
"ecs:ECs_0398","lactose operon repressor","ECs_0398"
"ecs:ECs_4859","peptidase component of the HslUV protease","ECs_4859"
"ecs:ECs_R0090","tRNA-Arg","ECs_R0090"
"ecs:ECs_5312","hypothetical protein","ECs_5312"
"ecs:ECs_1784","phage endolysin","ECs_1784"
"ecs:ECs_1397","hypothetical protein","ECs_1397"
"ecs:ECs_1212","phage lysis protein","ECs_1212"
"ecs:ECs_2326","transcriptional repressor","ECs_2326"
"ecs:ECs_3674","N-acetylmuramoyl-L-alanine amidase","ECs_3674"
"ecs:ECs_5318","L-galactonate oxidoreductase","ECs_5318"
"ecs:ECs_0825","phage terminase large subunit","ECs_0825"
"ecs:ECs_5338","pseudogene","ECs_5338"
"ecs:pO157p37","hypothetical protein","pO157p37"
"ecs:ECs_3303","RpoE-regulated lipoprotein","ECs_3303"
"ecs:ECs_0902","pyruvate formate lyase activating enzyme","ECs_0902"
"ecs:ECs_4513","hypothetical protein","ECs_4513"
"ecs:ECs_5711","TciA/TerB-like protein","ECs_5711"
"ecs:ECs_3327","transketolase","ECs_3327"
"ecs:ECs_2014","NADH-azoreductase","ECs_2014"
"ecs:ECs_1109","phage head-DNA stabilization protein","ECs_1109"
"ecs:ECs_2518","reactive intermediate deaminase","ECs_2518"
"ecs:ECs_1609","integrase","ECs_1609"
"ecs:ECs_0127","multicopper oxidase","ECs_0127"
"ecs:ECs_R0026","tRNA-Asp","ECs_R0026"
"ecs:ECs_5175","hypothetical protein","ECs_5175"
"ecs:ECs_0033","ribonucleoside hydrolase 3","ECs_0033"
"ecs:ECs_0622","4'-phosphopantetheinyl transferase entD","ECs_0622"
"ecs:ECs_1749","cardiolipin synthase 1","ECs_1749"
"ecs:ECs_1964","phage endolysin","ECs_1964"
"ecs:ECs_0573","pseudogene","ECs_0573"
"ecs:ECs_3310","ethanol utilization carboxysome structural protein","ECs_3310"
"ecs:ECs_0747","succinate dehydrogenase membrane anchor subunit","ECs_0747"
"ecs:ECs_0097","cell division protein FtsQ","ECs_0097"
"ecs:ECs_4901","pantothenate kinase","ECs_4901"
"ecs:ECs_0955","NAD-dependent oxidoreductase","ECs_0955"
"ecs:ECs_2179","phage terminase large subunit","ECs_2179"
"ecs:ECs_3404","3-phenylpropionate dioxygenase large subunit","ECs_3404"
"ecs:ECs_0195","lipoprotein","ECs_0195"
"ecs:ECs_0687","pseudogene","ECs_0687"
"ecs:ECs_R0030","tRNA-Arg","ECs_R0030"
"ecs:ECs_4093","hypothetical protein","ECs_4093"
"ecs:ECs_5011","extracellular polysaccharide export OMA protein","ECs_5011"
"ecs:ECs_4833","transcriptional activator RhaR","ECs_4833"
"ecs:ECs_2914","fimbrial-like adhesin protein","ECs_2914"
"ecs:ECs_R0110","tRNA-Leu","ECs_R0110"
"ecs:ECs_3249","hybrid sensory histidine kinase in two-component regulatory system with EvgA","ECs_3249"
"ecs:ECs_4108","serine endoprotease","ECs_4108"
"ecs:ECs_1844","peptidase","ECs_1844"
"ecs:ECs_3041","methyl-galactoside ABC transporter ATPase","ECs_3041"
"ecs:ECs_2447","endonuclease of nucleotide excision repair","ECs_2447"
"ecs:ECs_4634","DNA gyrase GyrB","ECs_4634"
"ecs:ECs_1267","poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis","ECs_1267"
"ecs:ECs_4797","outer membrane porin L","ECs_4797"
"ecs:ECs_3940","undecaprenyl pyrophosphate phosphatase","ECs_3940"
"ecs:ECs_2119","lsr operon transcriptional repressor","ECs_2119"
"ecs:ECs_3003","hypothetical protein","ECs_3003"
"ecs:ECs_3207","3-oxoacyl-[acyl-carrier-protein] synthase I","ECs_3207"
"ecs:ECs_4775","proline dipeptidase","ECs_4775"
"ecs:ECs_0746","succinate dehydrogenase cytochrome b556 subunit","ECs_0746"
"ecs:ECs_0512","maltose O-acetyltransferase","ECs_0512"
"ecs:ECs_4049","translation initiation factor IF-2","ECs_4049"
"ecs:ECs_4361","hypothetical protein","ECs_4361"
"ecs:ECs_2390","component of SufBCD Fe-S cluster assembly scaffold","ECs_2390"
"ecs:ECs_3604","adenosine 5'-phosphosulfate kinase","ECs_3604"
"ecs:ECs_3359","uracil permease","ECs_3359"
"ecs:ECs_2783","ssuEADCB/tauABCD operon transcriptional activator","ECs_2783"
"ecs:ECs_3445","autonomous glycyl radical cofactor","ECs_3445"
"ecs:ECs_5703","hypothetical protein","ECs_5703"
"ecs:ECs_3692","lysophospholipid transporter","ECs_3692"
"ecs:ECs_0559","ABC transporter permease","ECs_0559"
"ecs:ECs_1684","D-amino acid dehydrogenase","ECs_1684"
"ecs:ECs_1724","sulfur relay protein","ECs_1724"
"ecs:ECs_4594","EamA family inner membrane transporter","ECs_4594"
"ecs:ECs_4050","transcription elongation factor NusA","ECs_4050"
"ecs:ECs_1540","DNase","ECs_1540"
"ecs:ECs_1086","hypothetical protein","ECs_1086"
"ecs:ECs_2324","beta-D-glucuronidase","ECs_2324"
"ecs:ECs_0040","crotonobetaine/carnitine-CoA ligase","ECs_0040"
"ecs:ECs_2458","TVP38/TMEM64 family inner membrane protein","ECs_2458"
"ecs:ECs_4868","cystathionine gamma-synthase","ECs_4868"
"ecs:ECs_0775","translocation protein TolB","ECs_0775"
"ecs:ECs_1861","enoyl-[acyl-carrier-protein] reductase","ECs_1861"
"ecs:ECs_4652","phosphoenolpyruvate and 6-phosphogluconate phosphatase","ECs_4652"
"ecs:ECs_4004","alpha-dehydro-beta-deoxy-D-glucarate aldolase","ECs_4004"
"ecs:ECs_1038","beta-hydroxydecanoyl thioester dehydrase","ECs_1038"
"ecs:ECs_2485","Zn-dependent NAD(P)-binding oxidoreductase","ECs_2485"
"ecs:ECs_2416","vitamin B12 ABC transporter ATPase","ECs_2416"
"ecs:ECs_0661","phospholipid:lipid A palmitoyltransferase","ECs_0661"
"ecs:ECs_0889","periplasmic glutamine-binding protein","ECs_0889"
"ecs:ECs_3518","alpha-amylase","ECs_3518"
"ecs:ECs_2762","phage replication protein","ECs_2762"
"ecs:ECs_4609","hypothetical protein","ECs_4609"
"ecs:ECs_0847","T3SS secreted effector NleC","ECs_0847"
"ecs:ECs_0145","fimbrial protein","ECs_0145"
"ecs:ECs_3782","5-formyltetrahydrofolate cyclo-ligase family protein","ECs_3782"
"ecs:ECs_0070","thiamine/thiamine pyrophosphate ABC transporter ATPase","ECs_0070"
"ecs:ECs_0540","outer membrane transport protein","ECs_0540"
"ecs:ECs_4610","hypothetical protein","ECs_4610"
