"kegg_id","GeneName","GeneID"
"ecs:ECs_1971","phage terminase large subunit","ECs_1971"
"ecs:ECs_2217","pseudogene","ECs_2217"
"ecs:ECs_1542","phage terminase large subunit","ECs_1542"
"ecs:ECs_1543","phage prohead protease","ECs_1543"
"ecs:ECs_1793","phage prohead protease","ECs_1793"
"ecs:ECs_1386","phosphoadenosine phosphosulfate reductase","ECs_1386"
"ecs:ECs_0423","5-aminolevulinate dehydratase","ECs_0423"
"ecs:ECs_3127","anaerobic sn-glycerol-3-phosphate dehydrogenase membrane anchor subunit","ECs_3127"
"ecs:ECs_2232","outer membrane precursor Lom","ECs_2232"
"ecs:ECs_2718","outer membrane precursor Lom","ECs_2718"
"ecs:ECs_4329","acyl carrier protein","ECs_4329"
"ecs:ECs_3910","NADPH quinone reductase","ECs_3910"
"ecs:ECs_0932","ribosomal protein S6 modification protein","ECs_0932"
"ecs:ECs_0734","dipeptide and tripeptide permease D","ECs_0734"
"ecs:ECs_1792","phage terminase large subunit","ECs_1792"
"ecs:ECs_1547","phage minor tail protein","ECs_1547"
"ecs:ECs_2587","hypothetical protein","ECs_2587"
"ecs:ECs_2140","cysteine and O-acetyl-L-serine efflux system","ECs_2140"
"ecs:ECs_2708","hydroxyisourate hydrolase","ECs_2708"
"ecs:ECs_1690","transposase","ECs_1690"
"ecs:ECs_3065","cobalamin synthesis protein","ECs_3065"
"ecs:ECs_2160","outer membrane precursor Lom","ECs_2160"
"ecs:ECs_1795","phage portal protein","ECs_1795"
"ecs:ECs_2602","flagellar class II regulon transcriptional activator","ECs_2602"
"ecs:ECs_1552","phage tail length tape measure protein","ECs_1552"
"ecs:ECs_2612","lipoprotein","ECs_2612"
"ecs:ECs_2229","pseudogene","ECs_2229"
"ecs:ECs_4327","acyltransferase","ECs_4327"
"ecs:ECs_1549","phage major tail protein","ECs_1549"
"ecs:ECs_1803","phage tail length tape measure protein","ECs_1803"
"ecs:ECs_2248","phage portal protein","ECs_2248"
"ecs:ECs_3296","thiosulfate-binding protein","ECs_3296"
"ecs:ECs_2189","hypothetical protein","ECs_2189"
"ecs:ECs_1800","phage major tail protein","ECs_1800"
"ecs:ECs_0247","inhibitor of c-type lysozyme","ECs_0247"
