"logFC","logCPM","F","PValue","FDR","GeneID","Significant","GeneName"
9.07283220603316,8.34967087373515,2024.36762600709,7.05554338569736e-09,6.7216514060218e-06,"ECs_1453","Upregulated in SAC","flagellar hook assembly protein"
7.8747435159527,9.3782758940716,1751.3752676204,1.09080325097408e-08,6.7216514060218e-06,"ECs_1460","Upregulated in SAC","flagellar hook-filament junction protein 1"
8.25150825849781,7.30491972997836,1710.27325577489,1.17432885776638e-08,6.7216514060218e-06,"ECs_2678","Upregulated in SAC","flagellar motor switching and energizing component"
8.73249907038382,8.24442740187375,1686.17442873647,1.22452258317014e-08,6.7216514060218e-06,"ECs_2661","Upregulated in SAC","RNA polymerase sigma 28 factor FilA"
8.28994435705063,9.70763534182364,1680.39339758769,1.23588569678916e-08,6.7216514060218e-06,"ECs_2663","Upregulated in SAC","flagellar filament capping protein"
7.5665403493812,9.17525390391707,1677.75303366819,1.24175243243661e-08,6.7216514060218e-06,"ECs_5315","Upregulated in SAC","methyl-accepting chemotaxis protein II"
8.72504552340748,7.98212664475884,1630.84768065637,1.35485353561089e-08,6.7216514060218e-06,"ECs_2677","Upregulated in SAC","flagellar basal-body MS-ring and collar protein"
9.26738252664794,13.2046577295028,1617.36282913282,1.38679209271383e-08,6.7216514060218e-06,"ECs_2662","Upregulated in SAC","flagellin"
7.72581133803971,7.82518068456689,1583.58765414773,1.47892907865916e-08,6.7216514060218e-06,"ECs_1458","Upregulated in SAC","flagellar basal body protein"
8.1707795898197,6.76050289053793,1557.70674734453,1.55934739431628e-08,6.7216514060218e-06,"ECs_2679","Upregulated in SAC","negative regulator of FliI ATPase activity"
7.92471171017544,7.81397418391232,1542.69613453438,1.60062607137563e-08,6.7216514060218e-06,"ECs_1455","Upregulated in SAC","flagellar component of cell-proximal portion of basal-body rod"
7.52433842500658,7.30393228438317,1459.72574991249,1.89133610887214e-08,6.7216514060218e-06,"ECs_2682","Upregulated in SAC","flagellar hook-length control protein"
7.59755138086573,7.37671429118502,1384.79578245239,2.2171333032613e-08,6.7216514060218e-06,"ECs_4405","Upregulated in SAC","cyclic-di-GMP phosphodiesterase"
8.31683105460175,7.88970851913955,1367.59536216126,2.30290392061359e-08,6.7216514060218e-06,"ECs_2599","Upregulated in SAC","chemotaxis protein MotB"
7.33042147755038,7.76648769458575,1359.50183416592,2.34287347588622e-08,6.7216514060218e-06,"ECs_2593","Upregulated in SAC","chemotaxis-specific methylesterase"
8.48954558830116,7.51262786894148,1345.96465503564,2.41895195067592e-08,6.7216514060218e-06,"ECs_2664","Upregulated in SAC","flagellar protein potentiates polymerization"
8.41887762165217,9.64682130022717,1337.78596812439,2.45874358764549e-08,6.7216514060218e-06,"ECs_1454","Upregulated in SAC","flagellar hook protein"
8.0739849795554,8.68122865747387,1332.90561348775,2.48660984937073e-08,6.7216514060218e-06,"ECs_1456","Upregulated in SAC","flagellar component of cell-distal portion of basal-body rod"
7.2722136566226,7.97999633822544,1319.51882654327,2.56322964162855e-08,6.7216514060218e-06,"ECs_2591","Upregulated in SAC","chemotaxis protein CheZ"
7.13593302363629,6.5206621040438,1307.47501075162,2.63803327854609e-08,6.7216514060218e-06,"ECs_2683","Upregulated in SAC","flagellar biosynthesis protein"
